qty,n_trades,total_qty,vol_share
383.96762,1,383.96762,0.0022814773246197383
383.3568,1,383.3568,0.0022778479248817497
191.2086,2,382.4172,0.002272264964281549
378.189,1,378.189,0.002247141641580648
376.623,1,376.623,0.00223783670724698
125.28,3,375.84000000000003,0.0022331842400801468
375.84,1,375.84,0.0022331842400801463
371.5335,1,371.5335,0.0022075956706625616
369.74197,1,369.74197,0.002196950671296792
369.576,1,369.576,0.0021959645027454775
368.0011,1,368.0011,0.0021866066859625322
365.56877,1,365.56877,0.002172154150248733
361.746,1,361.746,0.002149439831077141
361.32143,1,361.32143,0.0021469171005726426
361.12686,1,361.12686,0.0021457609951618497
360.06424,1,360.06424,0.002139447068391963
359.5536,1,359.5536,0.002136412923010007
356.265,1,356.265,0.0021168725609093057
354.699,1,354.699,0.0021075676265756385
353.916,1,353.916,0.0021029151594088046
70.47,5,352.35,0.0020936102250751374
117.45,3,352.35,0.0020936102250751374
349.9334,1,349.9334,0.0020792511546340515
349.00071,1,349.00071,0.0020737092522051448
348.1218,1,348.1218,0.0020684869023742357
347.77728,1,347.77728,0.002066439816820829
172.26,2,344.52,0.002047085553406801
343.59836,1,343.59836,0.0020416093084008745
342.78347,1,342.78347,0.0020367673556938746
338.96256,1,338.96256,0.0020140640883599963
338.77966,1,338.77966,0.0020129773243180884
337.34174,1,337.34174,0.0020044334219061688
336.69,1,336.69,0.0020005608817384645
335.93863,1,335.93863,0.0019960963552312565
335.00916,1,335.00916,0.001990573585553662
332.72901,1,332.72901,0.0019770252803040377
330.88666,1,330.88666,0.0019660783162110417
327.294,1,327.294,0.001944731275736461
326.01818,1,326.01818,0.0019371505469231917
325.728,1,325.728,0.0019354263414027937
323.52829,1,323.52829,0.0019223559984250728
321.03,1,321.03,0.0019075115384017917
158.166,2,316.332,0.00187959673540079
315.04088,1,315.04088,0.0018719250963095484
314.2962,1,314.2962,0.0018675003207670226
308.62728,1,308.62728,0.0018338164584791468
305.69706,1,305.69706,0.0018164055359483691
305.37,1,305.37,0.0018144621950651192
302.75485,1,302.75485,0.001798923370657271
150.336,2,300.672,0.0017865473920641174
300.672,1,300.672,0.0017865473920641174
299.47096,1,299.47096,0.0017794109946617496
299.2626,1,299.2626,0.001778172951163817
298.04112,1,298.04112,0.0017709151023835561
148.77,2,297.54,0.0017679375233967828
297.11554,1,297.11554,0.0017654154464955896
295.974,1,295.974,0.0017586325890631153
295.47617,1,295.47617,0.0017556745587570303
295.24658,1,295.24658,0.0017543103698211
293.42491,1,293.42491,0.0017434862831495728
293.07803,1,293.07803,0.001741425174834335
293.06807,1,293.06807,0.001741365994025929
292.842,1,292.842,0.0017400227203957807
291.9807,1,291.9807,0.001734905006512264
289.36718,1,289.36718,0.0017193758673170365
289.27801,1,289.27801,0.001718846032710055
288.43483,1,288.43483,0.0017138359851165289
287.99191,1,287.99191,0.0017112042216969455
287.61322,1,287.61322,0.0017089541031894
287.47692,1,287.47692,0.0017081442292751733
286.94285,1,286.94285,0.0017049708663891057
286.94202,1,286.94202,0.001704965934655072
142.506,2,285.012,0.0016934980487274445
285.012,1,285.012,0.0016934980487274445
284.23688,1,284.23688,0.0016888924033246907
93.96,3,281.88,0.0016748881800601099
